Név;Eladások;Széria;Platform;Kiadás;Fejlesztő;Kiadó
Minecraft;300,000,000;Minecraft;Multi-platform;2011;Mojang Studios;Mojang Studios
Grand Theft Auto V;195,000,000;Grand Theft Auto;Multi-platform;2013;Rockstar North;Rockstar Games
Tetris (EA);100,000,000;Tetris;Multi-platform;2006;EA Mobile;Electronic Arts
Wii Sports;82,900,000;Wii;Wii;2006;Nintendo EAD;Nintendo
PUBG: Battlegrounds;75,000,000;PUBG Universe;Multi-platform;2017;PUBG Studios;Krafton
Mario Kart 8 / Deluxe;69,040,000;Mario Kart;Wii U / Switch;2014;Nintendo EAD / Nintendo EPD (Deluxe);Nintendo
Red Dead Redemption 2;61,000,000;Red Dead;Multi-platform;2018;Rockstar Games;Rockstar Games
Super Mario Bros.;58,000,000;Super Mario;Multi-platform;1985;Nintendo R&D4;Nintendo
Overwatch;50,000,000;Overwatch;Multi-platform;2016;Blizzard Entertainment;Blizzard Entertainment
Human: Fall Flat;50,000,000;Human: Fall Flat;Multi-platform;2016;No Brakes Games;Curve Digital
The Witcher 3: Wild Hunt;50,000,000;The Witcher;Multi-platform;2015;CD Projekt Red;CD Projekt
Tetris (Game Boy / NES);48,000,000;Tetris;Game Boy / NES;1989;Nintendo R&D1;Nintendo
Pokémon Red / Green / Blue / Yellow;47,520,000;Pokémon;Multi-platform;1996;Game Freak;Nintendo
Animal Crossing: New Horizons;44,790,000;Animal Crossing;Nintendo Switch;2020;Nintendo EPD;Nintendo
Terraria;44,500,000;;Multi-platform;2011;Re-Logic;Re-Logic / 505 Games
Wii Fit / Plus;43,800,000;Wii;Wii;2007;Nintendo EAD;Nintendo
Pac-Man;42,071,635;Pac-Man;Multi-platform;1980;Namco;Namco
Mario Kart Wii;37,380,000;Mario Kart;Wii;2008;Nintendo EAD;Nintendo
Super Smash Bros. Ultimate;33,670,000;Super Smash Bros.;Nintendo Switch;2018;Bandai Namco Studios / Sora Ltd.;Nintendo
The Legend of Zelda: Breath of the Wild;33,310,000;The Legend of Zelda;Wii U / Switch;2017;Nintendo EPD;Nintendo
Wii Sports Resort;33,140,000;Wii;Wii;2009;Nintendo EAD;Nintendo
New Super Mario Bros.;30,800,000;Super Mario;Nintendo DS;2006;Nintendo EAD;Nintendo
New Super Mario Bros. Wii;30,320,000;Super Mario;Wii;2009;Nintendo EAD;Nintendo
Call of Duty: Modern Warfare;30,000,000;Call of Duty;Multi-platform;2019;Infinity Ward;Activision
Diablo III;30,000,000;Diablo;Multi-platform;2012;Blizzard Entertainment;Blizzard Entertainment
Stardew Valley;30,000,000;Stardew Valley;Multi-platform;2016;ConcernedApe;ConcernedApe
Pokémon Gold / Silver / Crystal;29,490,000;Pokémon;Game Boy Color;1999;Game Freak;Nintendo
Duck Hunt;28,300,000;;NES;1984;Nintendo R&D1;Nintendo
Wii Play;28,020,000;Wii;Wii;2006;Nintendo EAD;Nintendo
The Walking Dead;28,000,000;The Walking Dead;Multi-platform;2012;Telltale Games;Telltale Games
Borderlands 2;28,000,000;Borderlands;Multi-platform;2012;Gearbox Software;2K Games
Super Mario Odyssey;27,650,000;Super Mario;Nintendo Switch;2017;Nintendo EPD;Nintendo
Grand Theft Auto: San Andreas;27,500,000;Grand Theft Auto;Multi-platform;2004;Rockstar North;Rockstar Games
Super Mario World;26,662,500;Super Mario;Multi-platform;1990;Nintendo EAD;Nintendo
Call of Duty: Modern Warfare 3;26,500,000;Call of Duty;Multi-platform;2011;Infinity Ward / Sledgehammer;Activision
FIFA 18;26,400,000;FIFA;Multi-platform;2017;EA Vancouver;EA Sports
Call of Duty: Black Ops;26,200,000;Call of Duty;Multi-platform;2010;Treyarch;Activision
Pokémon Sword / Shield;26,170,000;Pokémon;Nintendo Switch;2019;Game Freak;Nintendo / The Pokémon Company
New Super Mario Bros. U / Luigi U / Deluxe;26,090,000;Super Mario;Wii U / Switch;2012;Nintendo EAD;Nintendo
Pokémon Sun / Moon / Ultra Sun / Ultra Moon;25,510,000;Pokémon;Nintendo 3DS;2016;Game Freak;Nintendo / The Pokémon Company
Grand Theft Auto IV;25,000,000;Grand Theft Auto;Multi-platform;2008;Rockstar North;Rockstar Games
Cyberpunk 2077;25,000,000;Cyberpunk;Multi-platform;2020;CD Projekt Red;CD Projekt
Monster Hunter World;25,000,000;Monster Hunter;PlayStation 4, Xbox One, Windows;2018;Capcom;Capcom
Pokémon Diamond / Pearl / Platinum;24,730,000;Pokémon;Nintendo DS;2006;Game Freak;Nintendo / The Pokémon Company
Super Mario Bros. 3;24,430,000;Super Mario;Multi-platform;1988;Nintendo EAD;Nintendo
Pokémon Scarlet / Violet;24,360,000;Pokémon;Nintendo Switch;2022;Game Freak;Nintendo / The Pokémon Company
Horizon Zero Dawn;24,300,000;Horizon;PlayStation 4 / Windows;2017;Guerrilla Games;Sony Interactive Entertainment
Call of Duty: Black Ops II;24,200,000;Call of Duty;Multi-platform;2012;Treyarch;Activision
Hogwarts Legacy;24,000,000;Wizarding World;Multi-platform;2023;Avalanche Software;Warner Bros. Games
Kinect Adventures!;24,000,000;;Xbox 360;2010;Good Science Studio;Xbox Game Studios